Character,Frequency,Code,Length
 ,123078,111,3
e,71757,001,3
t,48426,1010,4
a,43211,1000,4
o,41817,0111,4
n,39381,0110,4
i,37165,0100,4
h,34837,0001,4
s,34393,0000,4
r,33801,11011,5
d,22597,10011,5
l,22161,10010,5
u,15755,110100,6
"
",14528,110011,6
m,13594,110010,6
c,13477,110001,6
y,12897,101111,6
f,12457,101110,6
w,12062,101100,6
g,10361,010110,6
",",9850,010101,6
p,8444,010100,6
b,8377,1101011,7
.,6452,1100000,7
v,5940,1011010,7
k,3256,10110111,8
I,2932,01011111,8
“,1919,110101001,9
”,1887,110101000,9
M,1784,110000110,9
;,1704,110000100,9
-,1361,010111100,9
B,1114,010111000,9
_,1096,1101010111,10
z,969,1101010100,10
T,909,1100001111,10
x,888,1100001110,10
L,843,1100001010,10
E,825,1011011011,10
H,795,1011011010,10
’,761,1011011000,10
C,752,0101111011,10
W,664,0101110111,10
q,649,0101110110,10
A,614,0101110101,10
D,586,0101110011,10
j,581,0101110010,10
S,550,11010101101,11
?,479,11010101010,11
!,425,11000010110,11
Y,344,01011110101,11
J,338,01011110100,11
:,279,01011101000,11
N,269,110101011000,12
P,265,110101010111,12
G,227,110000101111,12
O,208,101101100111,12
[,197,101101100110,12
],197,101101100101,12
R,177,101101100100,12
F,160,010111010010,12
X,116,1101010101100,13
K,101,1100001011100,13
1,83,0101110100110,13
4,69,11010101100110,14
V,66,11010101100101,14
8,58,11010101011010,14
9,53,11000010111010,14
2,43,01011101001110,14
3,36,110101011001110,15
U,31,110101011001000,15
(,30,110101010110111,15
),30,110101010110110,15
6,26,110000101110110,15
‘,24,010111010011111,15
5,23,010111010011110,15
7,21,1101010110011111,16
*,18,1101010110011110,16
/,18,1101010110010011,16
0,13,1100001011101110,16
ê,8,11000010111011110,17
},4,110101011001001000,18
à,4,110000101110111110,18
^,4,110101011001001011,18
{,4,110101011001001001,18
·,2,1100001011101111110,19
é,2,1101010110010010101,19
Z,1,11000010111011111110,20
œ,1,11000010111011111111,20
&,1,11010101100100101000,20
â,1,11010101100100101001,20
