Character,Frequency,Code,Length
 ,4639,101,3
e,2875,1111,4
t,2075,1001,4
i,1965,0111,4
o,1847,0101,4
a,1759,0011,4
n,1729,0010,4
s,1524,0000,4
r,1292,11011,5
h,1045,11000,5
l,1027,10001,5
d,907,01001,5
c,892,01000,5
m,814,00010,5
f,674,111010,6
"
",659,111000,6
u,638,110101,6
p,586,110011,6
g,487,100000,6
y,486,011011,6
b,469,011001,6
.,373,1110111,7
",",326,1110010,7
w,309,1101001,7
1,255,1000010,7
0,201,0001101,7
v,179,11101101,8
(,145,11001011,8
),145,11001010,8
H,135,11001000,8
C,125,01101011,8
T,124,01101010,8
2,119,01101001,8
{,110,01100010,8
},110,01100000,8
\,110,01100001,8
	,109,00011110,8
A,107,00011101,8
S,87,111011000,9
-,87,111001111,9
k,82,111001101,9
x,79,110100011,9
q,76,110100001,9
L,76,110100000,9
D,67,100001110,9
I,67,100001111,9
P,60,011010001,9
5,58,011000111,9
E,56,011000110,9
9,56,000111111,9
M,53,000111001,9
_,53,000111110,9
4,51,000111000,9
7,51,000110010,9
"""",50,000110001,9
W,49,000110000,9
3,44,1110110010,10
F,42,1110011101,10
R,42,1110011100,10
8,39,1110011000,10
B,39,1101000101,10
=,37,1100100110,10
:,35,1100100101,10
z,34,1100100100,10
O,33,1000011011,10
–,30,0110100001,10
6,28,0110100000,10
Z,25,0001100110,10
N,24,11101100111,11
G,22,11101100110,11
;,21,11100110011,11
],19,11001001110,11
[,19,11001001111,11
/,19,11010001000,11
',17,10000110101,11
+,16,10000110010,11
J,16,10000110100,11
V,15,10000110000,11
U,10,111001100100,12
K,10,111001100101,12
⁡,8,100001100111,12
j,8,100001100011,12
−,7,100001100010,12
>,7,000110011111,12
Q,5,1101000100110,13
…,5,1101000100111,13
·,4,1101000100100,13
∑,4,1000011001101,13
—,4,0001100111101,13
X,3,11010001001011,14
​,3,0001100111001,13
ℓ,3,0001100111010,13
^,3,0001100111011,13
∈,3,0001100111100,13
&,2,00011001110001,14
≤,1,00011001110000,14
μ,1,100001100110001,15
®,1,100001100110000,15
⋅,1,100001100110011,15
§,1,100001100110010,15
≈,1,110100010010101,15
→,1,110100010010100,15
